TITLE,RATING,RUNTIME,IMDB_RATING,GENRE,RELEASE_YEAR,DESCRIPTION,DIRECTOR,STARS,VOTES,TYPE
Oh Christmas Tree!,TV-G,87.0,6.3,"Comedy, Family, Romance",2013.0,"After a woman unexpectedly loses her job, she must work at her family's Christmas-tree lot to make ends meet during the holiday season.",Craig Pryce,"Sarah Lancaster, Eric Johnson, Colin Mochrie, Gregory Ambrose Calderone, ","2,486",Movie
The Tree That Saved Christmas,TV-G,88.0,6.1,"Drama, Romance",2014.0,A woman returns to her Vermont hometown to try and save her family's Christmas tree farm from foreclosure.,David Winning,"Lacey Chabert, Corey Sevier, Matthew Kevin Anderson, Jim Thorburn, ","1,240",Movie
12 Days of Giving,TV-G,87.0,6.0,"Comedy, Drama, Family",2017.0,"After winning a $50,000 prize, a man decides to pay things forward by buying Christmas gifts for strangers under the pseudonym ""Lucky the Elf.""",Christine Conradt,"Ashley Jones, David Blue, Jax Connolly, Preston James Hillier, ","1,089",Movie
Christmas in the Highlands,Not Rated,84.0,4.7,"Comedy, Drama, Romance",2019.0,A New York sales manager is sent to the remote Scottish Highlands at Christmas to acquire a limited edition perfume from a dashing Earl preparing for his annual ball and falls in love instead.,Ryan Dewar,"Dan Jeannotte, Brooke Burfitt, Nicholas Farrell, Geraldine Somerville, ",833,Movie
Christmas a la Mode,TV-PG,87.0,6.4,"Drama, Romance",2019.0,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,John Stimpson,"Katie Leclerc, Ryan Cooper, Jennifer Ellis, Kathy Harum, ","1,074",Movie
Christmas at Graceland: Home for the Holidays,TV-G,84.0,6.2,"Music, Romance",2019.0,"Harper is in Memphis before Christmas, visiting her sister and family after three years working at museums in Europe. Visiting Graceland with her two nieces, Harper meets a single dad of three kids and is offered a job as temporary nanny.",Eric Close,"Kaitlin Doubleday, Adrian Grenier, Sunny Mabrey, Alan Wells, ","1,131",Movie
Angel of Christmas,TV-G,84.0,6.2,"Comedy, Romance",2015.0,"After she finally gets the chance to pen her very first article, an aspiring newspaper writer digs into her family history to find the perfect Christmas story.",Ron Oliver,"Jennifer Finnigan, Jonathan Scarfe, Holly Robinson Peete, Christie Laing, ","2,320",Movie
Wrapped Up in Love,TV-G,89.0,5.4,"Comedy, Family, Romance",2021.0,"Ashley has always been the ""Christmas Queen"" in town. That is, until she meets her match, Ben, a handsome new guy in town, who loves Christmas just as much as she does. They join forces to make Christmas even more meaningful.",Michelle Ouellet,"Brittany Bristow, Olivier Renaud, Tara Joshi, Matt Wells, ",385,Movie
Trading Christmas,TV-G,87.0,6.9,"Comedy, Romance",2010.0,A Teacher from Washington state decides to do a house swap with a Boston Professor to be able to surprise and spend Christmas with her daughter.,Michael M. Scott,"Tom Cavanagh, Faith Ford, Gil Bellows, Gabrielle Miller, ","1,866",Movie
"Love Always, Santa",TV-G,84.0,6.7,"Drama, Romance",2016.0,"A widow's daughter writes to Santa Claus, asking for her mother to find love again. When a struggling writer receives the letter, he finds new inspiration and the beginnings of a romance.",Brian Herzlinger,"Marguerite Moreau, Mike Faiola, Brady Smith, Isadora Swann, ","1,784",Movie
A Christmas Kiss II,Unrated,88.0,5.9,"Comedy, Romance",2014.0,"At a Christmastime event, Jenna shares an impromptu, unforgettable kiss with the dashing billionaire, Cooper Montgomery. Unaware of his intentions and fearful of getting hurt in another ...                See full summary »",Kevin Connor,"Elisabeth Harnois, Adam Mayfield, Jonathan Bennett, Lola Glaudini, ","2,188",Movie
The Christmas Ornament,TV-G,83.0,6.8,Romance,2013.0,"A widow plans to give Christmas festivities a miss, as they bring back too many memories of her late husband.",Mark Jean,"Kellie Martin, Cameron Mathison, Jewel Staite, Brendan Meyer, ","2,176",Movie
Matchmaker Santa,TV-G,75.0,6.5,"Comedy, Drama, Romance",2012.0,A young baker discovers the magic of Christmas and love.,David S. Cass Sr.,"Lacey Chabert, Florence Henderson, John Ratzenberger, Lin Shaye, ","2,569",Movie
Red Snow,Not Rated,80.0,5.0,"Comedy, Horror, Thriller",2021.0,A struggling vampire romance novelist must defend herself against real-life vampires during Christmas in Lake Tahoe.,Sean Nichols Lynch,"Dennice Cisneros, Nico Bellamy, Laura Kennon, Vernon Wells, ","2,118",Movie
Santa Games,Not Rated,90.0,3.8,Comedy,2022.0,"When the manager of a mall where Santa Charles work decides to replace him, he asks to find his replacement. When this ad goes viral, the interview process becomes a series of tasks and challenges leading to an all-out competition.",Keoni Waxman,"Glenn Bond, Michael Cervantes, Lala Costa, Destiny Freeman, ",151,Movie
Christmas Joy,TV-G,84.0,6.4,"Family, Romance",2018.0,"Joy Holbrook is a market researcher about to get a sweet promotion just in time for the holidays. But she receives an urgent phone call from home and rushes back to help her Aunt recover from surgery, reuniting with her former crush, Ben.",Monika Mitchell,"Danielle Panabaker, Matt Long, Lucia Walters, Beverley Elliott, ","2,035",Movie
Broadcasting Christmas,TV-G,84.0,6.0,"Comedy, Drama, Family",2016.0,"Two news broadcasters who previously were in love fight for a position as a morning talk show host that they both want, ultimately finding what made them like each other so much in the first place.",Peter Sullivan,"Melissa Joan Hart, Dean Cain, Cynthia Gibb, Jackée Harry, ","2,027",Movie
A Heavenly Christmas,TV-G,93.0,6.4,"Drama, Fantasy, Romance",2016.0,"Upon her untimely death, a workaholic who never put much value into the joys of Christmas finds herself recruited to be a Christmas Angel -- and is assigned a hard luck case that she accidentally falls in love with.",Paul Shapiro,"Kristin Davis, Eric McCormack, Shirley MacLaine, Jaeda Lily Miller, ","2,065",Movie
The Santa Suit,TV-G,89.0,6.5,"Adventure, Comedy, Family",2010.0,"Hunter Toys CEO Drake Hunter turned his father's company from a cozy quality manufacturer into a ruthless, profitable business. After denying his staff any further festive generosity, the ...                See full summary »",Robert Vaughn,"Kevin Sorbo, Jodie Dowdall, Derry Robinson, Rosemary Dunsmore, ","1,100",Movie
The Spruces and the Pines,Unrated,86.0,6.0,"Comedy, Drama, Family",2017.0,Julie (Jonna Walsh) and Rick (Nick Ballard) fall in love despite being on opposite sides of feuding Christmas-tree-farm families.,John Stimpson,"Jonna Walsh, Nick Ballard, Tom Kemp, Ken Cheeseman, ","1,085",Movie
A Christmas Memory,Not Rated,96.0,7.0,"Drama, Family",1997.0,"Seven year old Buddy experiences the best of country life, friendship, and the joy of giving during the Christmas season. Based on the story by Truman Capote.",Glenn Jordan,"Patty Duke, Piper Laurie, Jeffrey DeMunn, Anita Gillette, ",800,Movie
Christmas Everlasting,TV-PG,85.0,6.3,"Drama, Romance",2018.0,A hotshot lawyer returns to her childhood home following a death in the family.,Ron Oliver,"Tatyana Ali, Dondré T. Whitfield, Dennis Haysbert, Patti LaBelle, ","1,126",Movie
Cloudy with a Chance of Christmas,Not Rated,90.0,5.5,"Comedy, Romance",2022.0,"When a weather forecaster is asked to host her network's annual snow-cast in the wintry town of Leavenworth live with the network's morning show host and a longtime rival of hers, tension brews and romantic sparks fly between them on air.",Jake Helgren,"Valery M. Ortiz, Brandon Quinn, Sarah Jane Morris, Nicole Bilderback, ",374,Movie
Santa Baby,PG,89.0,5.5,"Animation, Comedy, Fantasy",2006.0,"Mary Class is a highly successful business executive - who just happens to be the daughter of Santa Claus. But when her father falls ill, Mary returns to the North Pole and the life she ...                See full summary »",Ron Underwood,"Jenny McCarthy-Wahlberg, Ivan Sergei, George Wendt, Kandyse McClure, ","1,821",Movie
Christmas at Graceland,TV-G,85.0,5.7,"Comedy, Drama, Family",2018.0,"A Chicago-based business executive travels to Memphis to secure one of the city's oldest family-owned banks. While in Memphis she reunites with an old flame, Clay, a local music promoter with loftier aspirations.",Eric Close,"Kellie Pickler, Wes Brown, Claire Elizabeth Green, Rhoda Griffis, ","1,700",Movie
Christmas with the Darlings,TV-G,84.0,7.1,"Comedy, Family, Romance",2020.0,A woman helps a charming man look after his orphaned nieces and nephew during the holidays.,Catherine Cyran,"Katrina Law, Carlo Marks, Steve Bacic, Islie Hirvonen, ","1,703",Movie
Christmas with a Prince: Becoming Royal,TV-G,93.0,5.8,Romance,2019.0,Its Christmas again and Dr Tasha is on her way to meet Prince Alexander in St. Savarre. Though this is a happy time it is also a very stressful as a treaty is being negotiated between St. ...                See full summary »,Justin G. Dyck,"Kaitlyn Leeb, Nick Hounslow, Josh Dean, Stasia Caz, ",679,Movie
A Golden Christmas,TV-PG,95.0,5.5,"Comedy, Drama, Family",2009.0,"A woman visits her parents for Christmas. Hearing that they've ""sold"" the house, she wants to buy it. At 9 she had a BFF in the woods nearby named Han Solo. She and the buyer are single, divorced and have a child each. Is he her Han?",John Murlowski,"Andrea Roth, Nicholas Brendon, Elisa Donovan, Bruce Davison, ","1,362",Movie
Love You Like Christmas,TV-G,90.0,6.4,"Drama, Romance",2016.0,A high-powered marketing executive reconsiders her priorities when car trouble strands her in a small Ohioan town for the Christmas season.,Graeme Campbell,"Bonnie Somerville, Brennan Elliott, Madison Brydges, Precious Chong, ","2,141",Movie
The Enchanted Christmas Cake,Not Rated,84.0,5.4,Romance,2021.0,"Gwen recently lost her grandmother and she is struggling to run their bakery and regain the Christmas spirit, and figure out her grandmother's magical recipe for the town's legendary Enchanted Christmas Cake.",Robert Vaughn,"Erica Durance, Robin Dunne, Kyana Teresa, Paulino Nunes, ",657,Movie
A Very Vintage Christmas,TV-G,87.0,6.1,"Comedy, Drama, Romance",2019.0,An antique store owner (Tia Mowry-Hardrict) discovers a memory box of sentimental trinkets and attempts to find its rightful owner.,Paul A. Kaufman,"Tia Mowry, Jesse Hutch, Patricia Richardson, Agam Darshi, ",684,Movie
Christmas Child,Not Rated,96.0,6.2,Drama,2004.0,A life-sized nativity leads a man to learn about his past and lost family.,Bill Ewing,"Bart Gavigan, William R. Moses, Tonya Bordeaux, Steven Curtis Chapman, Megan Follows, ",650,Movie
Christmas Love Letter,TV-PG,86.0,6.1,"Comedy, Drama, Mystery",2019.0,"When relationship advice columnist Amalie Hess receives an unsigned love letter in a Christmas card, she returns to her hometown to solve the mystery of who sent it and maybe find true love.",Damián Romay,"Ashley Newbrough, Tilky Jones, Izzy Herbert, Ray Bengston, ",642,Movie
Christmas Eve on Sesame Street,TV-Y,60.0,8.4,"Comedy, Family, Music",1978.0,"Big Bird worries when Oscar tells him that if Santa Claus can't fit down the chimney on Christmas Eve, nobody would get presents.",Jon Stone,"Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt, ","1,066",Movie
Heidi,Passed,88.0,7.2,"Drama, Family, Musical",1937.0,"A plucky little orphan girl gets dumped abruptly into her gruff, hermit grandfather's care, then later gets retaken and delivered as a companion for an injured girl.",Allan Dwan,"Shirley Temple, Jean Hersholt, Arthur Treacher, Helen Westley, ","4,854",Movie
Backfire,Passed,91.0,6.6,"Crime, Film-Noir, Mystery",1950.0,"While recuperating from wartime back injuries at a hospital, veteran Bob Corey is visited on Christmas Eve by a beautiful stranger with an even stranger message.",Vincent Sherman,"Viveca Lindfors, Dane Clark, Virginia Mayo, Edmond O'Brien, ","1,692",Movie
Spotlight on Christmas,TV-PG,84.0,6.1,"Drama, Romance",2020.0,"Dumped before Christmas, famous Hollywood actress Olivia secretly returns to her hometown to eat cookies and avoid the press. Instead, she must step up to take the starring role in her own life.",Ali Liebert,"Tori Anderson, Victor Zinck Jr., Lia Frankland, Janet Kidder, ",910,Movie
The Christmas Sitters,Not Rated,80.0,5.4,"Comedy, Romance",2020.0,"Facing holiday flight delays on a return trip from Europe, two parents double-book incompatible babysitters: the mother's BFF lawyer friend, Nora, and the dad's guitarist half-brother, Max,...                See full summary »",Dylan Vox,"Tristin Mays, Nathan Owens, Melissa Ordway, Justin Gaston, ",250,Movie
A Dennis the Menace Christmas,G,83.0,4.7,"Comedy, Family, Fantasy",2007.0,"To make sure that his beloved neighbour, Mr Wilson, has the perfect Christmas, the neighbourhood's lively six-year-old boy, Dennis Mitchell, makes a long list of things one needs to make it work. However, is Mr Wilson willing to change?",Ron Oliver,"Maxwell Perry Cotton, Robert Wagner, Louise Fletcher, Isaac Durnford, ","2,192",Movie
The Twelve Days of Christmas Eve,PG,85.0,5.7,"Comedy, Drama, Fantasy",2004.0,"A successful CEO meets a Latin American rep on Christmas Eve, thus neglecting his girlfriend, family, and employees, and the day magically repeats itself until he gets it right.",Martha Coolidge,"Steven Weber, Stefanie von Pfetten, Mark Krysko, Teryl Rothery, ","1,115",Movie
Christmas on Mistletoe Lake,TV-PG,87.0,5.5,"Comedy, Romance",2022.0,"Interior designer Reilly finds herself this Christmas in the town of Mistletoe Lake with no place to stay. She accepts an offer from Ray to stay in his boat, helping him renovate the boat for the town's Christmas Harbor Festival.",Robin Dunne,"Genelle Williams, Corey Sevier, Hattie Kragten, Robin Dunne, ",364,Movie
Sleigh Bells Ring,TV-G,82.0,6.3,"Comedy, Family, Romance",2016.0,A busy single mom tasked with organizing her city's Christmas parade discovers an antique sleigh which seems to have a mind of its own.,Marita Grabiak,"Erin Cahill, David Alpay, Dakota Guppy, Jenna Romanin, ","1,506",Movie
Christmas in Love,TV-G,84.0,6.3,"Drama, Romance",2018.0,An aspiring crafter working in her small town's bakery shows the new big-city CEO that it's people and not machines which make the business a success.,Don McBrearty,"Brooke D'Orsay, Daniel Lissing, Mary-Margaret Humes, David Keeley, ","2,247",Movie
A Perfect Christmas,TV-G,84.0,6.1,"Comedy, Family, Romance",2016.0,"A newlywed couple prepare to host their first family Christmas together, but things don't go according to plan.",Brian K. Roberts,"Susie Abromeit, Dillon Casey, Erin Gray, Neil Crone, ","1,413",Movie
After the Thin Man,Passed,112.0,7.6,"Comedy, Crime, Mystery",1936.0,"Private detective Nick Charles and his wealthy wife Nora are back home at last and hoping for a quiet New Year when there is a murder. The obvious suspect is his wife, Nora's cousin, Selma.",W.S. Van Dyke,"William Powell, Myrna Loy, James Stewart, Elissa Landi, ","11,898",Movie
One Starry Christmas,TV-G,83.0,6.5,"Comedy, Drama, Romance",2014.0,"When journeying by bus to surprise her boyfriend for Christmas, Holly meets a charming cowboy who accompanies her.",John Bradshaw,"Sarah Carter, Damon Runyan, Paul Popowich, Kathleen Laskey, ","2,311",Movie
Christmas Time Is Here,Not Rated,85.0,5.4,"Comedy, Family, Romance",2021.0,Nia is a local realtor who is helping Julian find the ideal property to expand for his upscale property developer company. Julian sets his eye on Nia's family owned inn that is managed by ...                See full summary »,Christie Will Wolf,"Rukiya Bernard, Dewshane Williams, Tom Pickett, Jill Morrison, ",732,Movie
Christmas at Cartwright's,TV-G,84.0,6.3,"Comedy, Drama, Family",2014.0,"A single mom gets a holiday job as a department store Santa to help boost her finances, and then an angel enters her life and brings about some positive changes, including the spark of a new romance.",Graeme Campbell,"Alicia Witt, Gabriel Hogan, Wallace Shawn, T.J. McGibbon, ","2,098",Movie
The Christmas Checklist,Not Rated,90.0,6.7,"Drama, Romance",2022.0,A grieving daughter receives a Christmas checklist from her recently deceased mom with twelve activities she must complete before Christmas.,Anne De Léan,"Sarah Power, Jarod Joseph, Monica Rodriguez Knox, Dakota Jamal Wellman, ",66,Movie
A Very Merry Toy Store,TV-PG,90.0,5.5,"Comedy, Drama, Family",2017.0,Two rival toy shop owners reluctantly join forces when an unscrupulous toy magnate opens a box store in their town.,Paula Hart,"Melissa Joan Hart, Mario Lopez, Dan Amboyer, Kurt Cole, ","1,102",Movie
Home by Christmas,TV-14,95.0,6.3,"Drama, Family",2006.0,"After a well-to-do woman divorces her cheating husband, she ends up homeless through a series of mishaps.",Gail Harvey,"Linda Hamilton, Rob Stewart, Brenda Crichlow, Garwin Sanford, ",920,Movie
Charming Christmas,TV-G,85.0,6.2,"Drama, Romance",2015.0,"When a young businesswoman plays Mrs Claus at her family's department store over Christmas, her life begins to take some unexpected turns.",Craig Pryce,"Julie Benz, David Sutcliffe, Bruce Gray, Catherine McNally, ","1,938",Movie
Christmas in Louisiana,TV-PG,90.0,5.8,Romance,2019.0,"When a woman returns home to celebrate the anniversary of the town's Sugarcane Christmas Festival, she rediscovers the magic of the season.",Emily Moss Wilson,"Jana Kramer, Percy Daggs III, Moira Kelly, Brian McNamara, ",613,Movie
Help for the Holidays,TV-G,90.0,6.6,"Drama, Family, Fantasy",2012.0,"Santa's elf (Summer Glau) helps a family (Eva La Rue, Dan Gauthier) during Christmastime.",Bradford May,"Summer Glau, Eva LaRue, John Brotherton, Dan Gauthier, ","2,359",Movie
My Favorite Christmas Tree,Not Rated,90.0,6.0,"Comedy, Romance",2022.0,"Kyla is a genealogy researcher who travels to the charming town of Conifer, hoping to piece together her ancestry. The search leads Kyla to a Christmas tree farm, its stubborn but handsome owner - and, possibly, love.",Jason Bourque,"Emma Johnson, Giles Panton, Marnie Mahannah, Beth Fotheringham, ",462,Movie
If You Believe,TV-PG,91.0,6.4,"Comedy, Drama, Fantasy",1999.0,"A jaded book editor has nearly given up on happiness, until she bumps her head and gets a visit from her spunky younger self (Hayden Panettiere). Now, the cheerful, carefree seven-year old helps adult Susan rediscover her inner child.",Alan Metzger,"Ally Walker, Tom Amandes, Hayden Panettiere, Meredith McGeachie, ",803,Movie
A Christmas Tree Miracle,TV-G,102.0,6.5,Family,2013.0,"A warm-hearted Christmas tale to remind us that in the holiday season, the best gifts in life are the simple ones, and that miracles do happen, if you believe.",J.W. Myers,"Kevin Sizemore, Terry Kiser, Jill Whelan, Barrett Carnahan, ",926,Movie
Snowbound for Christmas,PG,83.0,5.3,"Comedy, Romance",2019.0,"Marketing exec lands a spot on a big project but before the presentation, a snowstorm traps her and her boss at a resort where they realize there is more to their relationship than just business.",Marco Deufemia,"Zarrin Darnell-Martin, Henderson Wade, Scott Thompson, Josephine Buettner, ",723,Movie
The Christmas Party,Approved,9.0,6.4,"Short, Family",1931.0,"Jackie wants to throw a Christmas party for his friends on his football team, but doesn't know how to go about it. His fellow stars at MGM decide to help him out.",Charles Reisner,"Lionel Barrymore, Wallace Beery, Jackie Cooper, Marion Davies, ",440,Movie
Love at the Christmas Table,Not Rated,89.0,6.4,"Comedy, Drama, Romance",2012.0,A man realizes that his best friend since childhood is the woman that he loves.,Rachel Lee Goldenberg,"Danica McKellar, Dustin Milligan, Lea Thompson, Scott Patterson, ","2,708",Movie
A Christmas Stray,TV-PG,84.0,6.2,"Drama, Romance",2021.0,"A man finds himself hopelessly stranded in a small town on Christmas Eve, unable to shake the stray dog who ran him off the road, and irresistibly drawn to the free-spirited, local veterinarian.",Roger M. Bobb,"Andra Fuller, Rhyon Nicole Brown, Melissa Murray-Mutch, Chris Shields, ",359,Movie
A Wedding for Christmas,TV-PG,90.0,5.3,Romance,2018.0,"Haley escapes her small-town and builds a life in Los Angeles as a wedding planner. When her sister asks her to plan her wedding, Haley returns to her childhood town and reunites with a childhood flame.",Fred Olen Ray,"Cristine Prosperi, Colton Little, Vivica A. Fox, Lesli Kay, ","1,111",Movie
The Christmas Ring,TV-G,84.0,6.4,"Drama, Romance",2020.0,A website writer tries to locate the owner of an antique engagement ring for her latest human interest story.,Troy Scott,"Nazneen Contractor, David Alpay, Kazumi Evans, Chelsey Reist, ","1,228",Movie
Unlikely Angel,Not Rated,95.0,6.3,"Comedy, Fantasy",1996.0,"Dolly Parton portrays a country-music performer who meets an untimely demise, but cannot enter heaven until she performs a good deed back on Earth: to reunite a workaholic widower with his children for Christmas.",Michael Switzer,"Dolly Parton, Roddy McDowall, Brian Kerwin, Allison Mack, ","1,185",Movie
Christmas with a Crown,Not Rated,89.0,5.4,Romance,2020.0,Sparks fly when a dashing stranger volunteers to help a successful woman organize her family's annual Christmas festival. But he's really a prince in disguise and it will take a miracle of royal proportions for their hearts to meet as one.,Dylan Pearce,"Lisa Durupt, Marcus Rosner, Teryl Rothery, Michael Lazarovitch, ","1,189",Movie
A Perfect Day,Not Rated,87.0,5.6,"Drama, Family",2006.0,A family man and suddenly-successful author encounters a mystic stranger who warns him he has only forty more days to live. Based on a novel by Richard Paul Evans.,Peter Levin,"Rob Lowe, Frances Conroy, Paget Brewster, Christopher Lloyd, ","1,188",Movie
I'll Be Seeing You,Approved,85.0,7.1,"Drama, Family, Romance",1944.0,A soldier suffering from combat fatigue meets a young woman on Christmas furlough from prison and their mutual loneliness blossoms into romance.,William Dieterle,"George Cukor, Ginger Rogers, Joseph Cotten, Shirley Temple, Spring Byington, ","2,481",Movie
Scentsational Christmas,TV-PG,87.0,5.6,"Drama, Family, Romance",2022.0,"Ellie decides to go back home for Christmas, and help her dad with the candle-making business. Little does she know, however, that her father has charming, writer Logan staying with him, looking for inspiration for his writings.",Robert Vaughn,"Nazneen Contractor, Mykee Selkin, Sugith Varughese, Jennifer Gibson, ",306,Movie
A Gift for Christmas,TV-G,89.0,6.6,"Comedy, Drama, Family",2017.0,A handsome stranger develops amnesia after a bibliophile crashes into him on her bicycle.,Kevin Fair,"Peter Porte, Ali Liebert, Tina Lifford, Kristin York, ","2,487",Movie
A Merry Christmas Match,TV-G,82.0,5.9,"Comedy, Drama, Romance",2019.0,"Corey who works in her mom's antique shop, puts on a Christmas pageant in honor of her late father. When a man named Ryder visits her store, she wonders if she should have left town to follow her dream of becoming a theater director.",Jake Helgren,"Ashley Newbrough, Kyle Dean Massey, Lindsey Gort, John DeLuca, ","1,381",Movie
Enchanted Christmas,TV-G,84.0,5.9,Romance,2017.0,Young widow Laura Trudeau was a remarkable dancer. As a project manager she is tasked with renovating a lodge in her hometown and have it ready by Christmas Eve. She is stunned it's the lodge where she and her former love performed.,Terry Cunningham,"Alexa PenaVega, Carlos PenaVega, Rene Raymond Rivera, Jaynee-Lynne Kinchen, ","1,440",Movie
Campfire Romance,TV-G,84.0,5.4,"Adventure, Comedy, Drama",2022.0,Romance rekindles for Peyton and her closest friends during a holiday themed reunion which Peyton's parents decide to host in their family owned summer camp before selling it.,David I. Strasser,"Tori Anderson, Corbin Bleu, Jeffrey Bowyer-Chapman, Caitlin Stryker, ",654,Movie
Elf-Man,Not Rated,86.0,3.4,"Comedy, Family, Fantasy",2012.0,"An Elf is left behind by Santa to help rescue the Harper family from a lousy Christmas. The Elf and the family get more than they bargained for, as the kids help the Elf discover his special powers and true identity as a budding superhero.",Ethan Wiley,"Jason 'Wee Man' Acuña, Jeffrey Combs, Mackenzie Astin, Mirelly Taylor, ",757,Movie
Random Acts of Christmas,TV-G,88.0,6.5,"Drama, Family, Romance",2019.0,"Inspired by a story idea following random acts of kindness at Christmas, a journalist reconnects with an old flame in her home town.",Marita Grabiak,"Erin Cahill, Kevin McGarry, Jaden Oehr, Hamza Fouad, ","1,137",Movie
A Holiday in Harlem,TV-G,84.0,5.5,"Drama, Romance",2021.0,"Known for transforming fledgling businesses into moneymakers, executive Jazmin Carter returns to Harlem, N.Y., to celebrate Christmas in the neighborhood where she grew up.",Keith Powell,"Olivia Washington, Will Adams, Tina Lifford, Opal Alladin, ",593,Movie
"It's Christmas, Eve",TV-G,84.0,6.6,"Drama, Music, Romance",2018.0,"An interim school superintendent finds herself in a tough spot when she is assigned to shut down a school's failing music program, and must come to terms with her musical past.",Tibor Takács,"LeAnn Rimes, Tyler Hynes, Gwynyth Walsh, Laurie Murdoch, ","1,580",Movie
A Midnight Kiss,TV-G,81.0,6.0,Romance,2018.0,A brother and sister prepare to take over the family party-planning business.,J.B. Sugar,"Adelaide Kane, Carlos PenaVega, Pauline Egan, Jason Cermak, ",957,Movie
Shoelaces for Christmas,TV-PG,90.0,6.4,"Drama, Family, Romance",2018.0,"After a disagreement with her father, teenager Jennifer inadvertently stumbles into a local homeless shelter late one evening. Will volunteering at the shelter teach her to be responsible and compassionate toward others?",Craig Clyde,"Bailey Chase, Jessica Morris, Mia Topalian, Austin R. Grant, ",544,Movie
The Mistletoe Inn,TV-G,84.0,6.4,"Comedy, Drama, Romance",2017.0,An aspiring novelist signs up for a week-long writing workshop at the Mistletoe Inn.,Alex Wright,"Alicia Witt, David Alpay, Lucie Guest, Casey Manderson, ","1,971",Movie
Christmas in the City,TV-PG,87.0,5.7,"Comedy, Drama, Family",2013.0,"With the threat of having to close her father's candy store, Wendy and her 5-year-old daughter travel to the big city in the hope of making enough money to save it.",Marita Grabiak,"Ashley Williams, Ashanti, Jon Prescott, Shanola Hampton, ","1,637",Movie
A Perfect Christmas List,TV-G,88.0,5.6,"Comedy, Drama, Family",2014.0,"As a last wish, a recently hospitalized grandmother, Evie, tasks her daughter and granddaughter, Sara, with a list of festive accomplishments to do together before Christmas, hoping that ...                See full summary »",Fred Olen Ray,"Ellen Hollman, Beth Broderick, Aaron Hill, Richard Karn, ","1,241",Movie
The Christmas Cure,TV-G,87.0,6.2,"Drama, Romance",2017.0,"A doctor returns home for Christmas to find that her father has decided to retire from his own practice. After reuniting with her high-school sweetheart, she wonders if she should stay and take over her father's practice.",John Bradshaw,"Brooke Nevin, Steve Byers, Patrick Duffy, Kathleen Laskey, ","1,707",Movie
A Very Charming Christmas Town,TV-PG,88.0,5.9,"Comedy, Drama, Romance",2020.0,A lifestyle blogger is assigned to write a news story on a small tourist town for the Christmas season.,Jake Helgren,"Natalie Hall, Jon Prescott, Kelley Jakle, Jo Marie Payton, ",940,Movie
Christmas in Palm Springs,Not Rated,84.0,5.0,Comedy,2014.0,A brother and sister hatch a plan to reunite their separated parents by ensuring they're both in Palm Springs for Christmas.,Fred Olen Ray,"Patrick Muldoon, Dina Meyer, Ian Ziering, Bill Cobbs, ",487,Movie
Fixing Up Christmas,Not Rated,86.0,5.9,"Comedy, Romance",2021.0,"Known as a ""fixer"" for difficult clients, a talented party planner must help a young CEO plan the Christmas party of the year to dazzle the mayor and save his company. Wil the ""fixer"" fix something more than just the company?",Jessica Harmon,"Natalie Dreyfuss, Marshall Williams, Harrison Coe, Bethany Brown, ",491,Movie
Letters to Satan Claus,TV-14,87.0,4.8,"Comedy, Horror",2020.0,"Holly returns to her hometown to make a Christmas special before her promotion to a television anchorwoman, but first she must face Satan Claus and horrible childhood memories of him.",Emma Jean Sutherland,"Karen Knox, Jessica Clement, Joseph Cannata, Alex Harrouch, ",493,Movie
The Christmas Blessing,TV-G,96.0,6.2,"Drama, Family, Romance",2005.0,A young doctor encounters romance and deals with his past when he returns to his hometown during the holidays.,Karen Arthur,"Neil Patrick Harris, Rebecca Gayheart, Angus T. Jones, Hugh Thompson, ","1,206",Movie
Mom's Christmas Boyfriend,TV-G,No data,5.5,Romance,2023.0,"Single mom Emma always puts others first, especially her daughter, Lily, whom she adopted on her own. But when the precocious Lily wins a contest to have her Christmas wish granted, Emma's life gets turned upside down.",Graeme Campbell,"Jeananne Goossen, Zach Smadu, Ai Barrett, Anthony Bewlz, ",50,Movie
A Christmas Wish in Hudson,Not Rated,90.0,5.4,Romance,2021.0,"Lori really needs a break for Christmas. When she sees Patrick Jacobs, a widowed firefighter from Hudson, Wisconsin on a reality cooking show, she feels a strong attraction and decides to take a shot at love, but she's not the only one.",Elizabeth Snoderly,"Alex Rinehart, Rib Hillis, Lexi Giovagnoli, Lauren Schuster, ",295,Movie
The Christmas Gift,TV-PG,85.0,5.3,"Drama, Family, Romance",2015.0,A reporter searches for a stranger who unknowingly changed her life with an anonymous Christmas gift.,Fred Olen Ray,"Michelle Trachtenberg, Sterling Sulieman, Rick Fox, Lawrence Hilton-Jacobs, ",772,Movie
A New Diva's Christmas Carol,Not Rated,84.0,5.2,Comedy,2022.0,"Aphrodite was made famous back in the day for performing ""the"" timeless love song of the era. The song that everyone plays at their weddings, in every sappy commercial for diamonds or rings...                See full summary »",Rusty Cundieff,"Ashanti, Mckenzie Small, Vivica A. Fox, Robin Givens, ",155,Movie
