TITLE,RATING,RUNTIME,IMDB_RATING,GENRE,RELEASE_YEAR,DESCRIPTION,DIRECTOR,STARS,VOTES,TYPE
Christmas in Connecticut,Approved,101.0,7.3,"Comedy, Romance",1945.0,A food writer who has lied about being the perfect housewife must try to cover her deception when her boss and a returning war hero invite themselves to her home for a traditional family Christmas.,Peter Godfrey,"Barbara Stanwyck, Dennis Morgan, Sydney Greenstreet, Reginald Gardiner, ","11,520",Movie
Happiest Season,PG-13,102.0,6.6,"Comedy, Romance",2020.0,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.",Clea DuVall,"Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber, ","45,966",Movie
The Man Who Invented Christmas,PG,104.0,7.0,"Biography, Comedy, Drama",2017.0,"The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas.",Bharat Nalluri,"Dan Stevens, Mark Schrier, Patrick Joseph Byrnes, Miriam Margolyes, ","18,405",Movie
The Christmas Chronicles: Part Two,PG,112.0,6.0,"Adventure, Comedy, Family",2020.0,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas--forever.",Chris Columbus,"Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison, ","34,558",Movie
8-Bit Christmas,PG,97.0,6.7,"Comedy, Family",2021.0,"In 1980s Chicago, a 10-year-old sets out on a quest to get the Christmas gift of his generation: the latest and greatest video-game system.",Michael Dowse,"Winslow Fegley, Neil Patrick Harris, Steve Zahn, June Diane Raphael, ","20,689",Movie
A Christmas Carol,TV-PG,86.0,8.1,"Drama, Family, Fantasy",1951.0,"Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve, he will be visited by three spirits who will show him the error of his ways.",Brian Desmond Hurst,"Alastair Sim, Jack Warner, Kathleen Harrison, Mervyn Johns, ","24,985",Movie
Meet Me in St  Louis,Passed,113.0,7.5,"Comedy, Drama, Family",1944.0,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer, ","26,838",Movie
The Nutcracker and the Four Realms,PG,99.0,5.6,"Adventure, Family, Fantasy",2018.0,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,Lasse Hallström,"Joe Johnston, Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren, ","36,570",Movie
Shazam!,PG-13,132.0,7.0,"Action, Adventure, Comedy",2019.0,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, ","377,356",Movie
Home Sweet Home Alone,PG,93.0,3.6,"Comedy, Crime, Family",2021.0,A married couple tries to steal back a valuable heirloom from a troublesome kid.,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, ","19,638",Movie
A Bad Moms Christmas,R,104.0,5.6,Comedy,2017.0,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",Jon Lucas,"Scott Moore, Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, ","56,624",Movie
Surviving Christmas,PG-13,91.0,5.4,"Comedy, Romance",2004.0,"A lonely, obnoxious young millionaire pays a family to spend Christmas with him.",Mike Mitchell,"Ben Affleck, Christina Applegate, James Gandolfini, Catherine O'Hara, ","27,067",Movie
A Christmas Carol,TV-PG,95.0,7.4,"Drama, Fantasy",1999.0,An old bitter miser who makes excuses for his uncaring nature learns real compassion when three ghosts visit him on Christmas Eve.,David Hugh Jones,"Patrick Stewart, Richard E. Grant, Joel Grey, Ian McNeice, ","10,570",Movie
The Year Without a Santa Claus,TV-G,51.0,7.7,"Animation, Comedy, Family",1974.0,"When a weary and discouraged Santa Claus considers skipping his Christmas Eve run one year, Mrs. Claus and his elves set out to change his mind.",Jules Bass,"Arthur Rankin Jr., Shirley Booth, Mickey Rooney, Dick Shawn, George S. Irving, ","11,270",Movie
A Charlie Brown Christmas,TV-G,25.0,8.3,"Animation, Comedy, Drama",1965.0,"Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas.",Bill Melendez,"Ann Altieri, Chris Doran, Sally Dryer, Bill Melendez, ","42,695",Movie
Fatman,R,100.0,5.9,"Action, Adventure, Comedy",2020.0,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",Eshom Nelms,"Ian Nelms, Mel Gibson, Walton Goggins, Marianne Jean-Baptiste, Chance Hurstfield, ","29,172",Movie
Nativity!,PG,105.0,6.4,"Comedy, Family",2009.0,An uptight but secretly heartbroken primary school teacher's little white lie about Hollywood coming to see his class' nativity play grows like wildfire in his rag-tag school low on self-esteem.,Debbie Isitt,"Martin Freeman, Marc Wootton, Jason Watkins, Ashley Jensen, ","12,088",Movie
Batman Returns,PG-13,126.0,7.1,"Action, Crime, Fantasy",1992.0,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",Tim Burton,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken, ","322,680",Movie
Edward Scissorhands,PG-13,105.0,7.9,"Drama, Fantasy, Romance",1990.0,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, ","515,997",Movie
This Is Christmas,Not Rated,111.0,7.0,"Comedy, Drama, Romance",2022.0,"This rom-com set in London during the Christmas season follows Adam and Emma on their daily commute from the village of Langton to London, where they meet the same passengers every day.",Chris Foggin,"Alfred Enoch, Kaya Scodelario, Timothy Spall, Jack Donoghue, ","2,444",Movie
Single All the Way,TV-PG,99.0,6.2,"Comedy, Drama, Romance",2021.0,"Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship.",Michael Mayer,"Michael Urie, Philemon Chambers, Luke Macfarlane, Barry Bostwick, ","19,024",Movie
Serendipity,PG-13,90.0,6.8,"Comedy, Romance",2001.0,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",Peter Chelsom,"John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan, ","119,511",Movie
The Bishop's Wife,G,109.0,7.6,"Comedy, Drama, Fantasy",1947.0,A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.,Henry Koster,"Cary Grant, Loretta Young, David Niven, Monty Woolley, ","20,151",Movie
Frosty the Snowman,TV-G,25.0,7.3,"Animation, Short, Comedy",1969.0,A living snowman and a little girl struggle to elude a greedy magician who is after the snowman's magic hat.,Jules Bass,"Arthur Rankin Jr., Jackie Vernon, Billy De Wolfe, Jimmy Durante, Paul Frees, ","20,959",Movie
Just Friends,PG-13,96.0,6.2,"Comedy, Romance",2005.0,"While visiting his hometown during Christmas, a man comes face-to-face with his old high-school crush and best friend--a woman whose rejection of him turned him into a ferocious womanizer.",Roger Kumble,"Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein, ","125,453",Movie
